parent_id,child_id,high_confidence,confidence
0,1,True,0.973
1,2,True,0.666
2,3,True,0.678
0,4,True,0.704
1,5,True,0.734
2,6,True,0.319
5,7,True,0.548
6,8,True,0.389
2,9,True,0.518
9,10,True,0.276
4,11,True,0.965
6,12,True,0.37
12,13,True,0.731
6,14,True,0.437
14,15,True,0.891
14,16,True,0.723
12,17,True,0.304
7,18,True,0.868
13,19,True,0.947
17,20,True,0.914
16,21,True,0.65
14,22,True,0.315
13,23,True,0.352
23,24,True,0.933
21,25,True,0.636
19,26,True,0.343
15,27,True,0.898
22,28,True,0.707
20,29,True,0.65
29,30,True,0.497
29,31,True,0.525
25,32,True,0.389
22,33,True,0.23
29,34,True,0.892
33,35,True,0.57
25,36,True,0.633
25,37,True,0.455
28,38,True,0.794
28,39,True,0.22
